,V_COMMENTS,Counts,V_COMMENTS_2,Tokens,id_2_feature,TFIDF_Feature,Topic_tfidf_lda,All_Topic_tfidf_Probabilities,TF_tfidf_Topic_No, TF IDF Topic words,V_COMMENTS_PROCESSED,Cluster_label
311,"agree to maker is decision
mismatch id number_nric",139,agree makers ision mismatch id number nric,"['agree_maker', 'ision', 'mismatch', 'i', 'd', 'number', 'nric']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (189, 1), (190, 1)]","[(0, 0.18383163398385646), (1, 0.18390742054452117), (2, 0.011701625429082806), (3, 0.14823828141000833), (4, 0.1519776249499258), (189, 0.7164898256908263), (190, 0.6114062529108774)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.03954656), (1, 0.039514434), (2, 0.040299654), (3, 0.039192736), (4, 0.13403334), (5, 0.039078884), (6, 0.03886322), (7, 0.040051226), (8, 0.03906051), (9, 0.03950366), (10, 0.039021436), (11, 0.039502814), (12, 0.039626908), (13, 0.04036856), (14, 0.038990714), (15, 0.04006489), (16, 0.039376363), (17, 0.03948257), (18, 0.15444657), (19, 0.03997496)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",agree to maker is ision mismatch id number nric,-1
358,"mismatch full legal name_name structure 
https://www.sc.com.my/regulation/enforcement/actions/administrative-actions/administrative-actions-in-2022
",111,mismatch full name structure actionsadministrative actions,"['mismatch', 'full', 'name', 'structure', 'action']","[(2, 1), (8, 1), (9, 1), (54, 1), (197, 1)]","[(2, 0.017005124115404616), (8, 0.26416997766081013), (9, 0.18477540546686408), (54, 0.43662122082915045), (197, 0.8397291275838448)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.038829826), (1, 0.13627236), (2, 0.038818303), (3, 0.039142314), (4, 0.039150883), (5, 0.038830608), (6, 0.03884404), (7, 0.03880953), (8, 0.03884632), (9, 0.03879823), (10, 0.03879072), (11, 0.038797986), (12, 0.03909038), (13, 0.038828705), (14, 0.038832027), (15, 0.03882201), (16, 0.03889779), (17, 0.05875412), (18, 0.1440096), (19, 0.03883424)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",mismatch full name name structure   actionsadministrative actions in  ,0
508,missmatch,68,missmatch,['missmatch'],"[(333, 1)]","[(333, 1.0)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.04972705), (1, 0.049315587), (2, 0.053781927), (3, 0.048004467), (4, 0.047755107), (5, 0.047625687), (6, 0.04704915), (7, 0.05255907), (8, 0.047742125), (9, 0.04954829), (10, 0.04764113), (11, 0.049554862), (12, 0.050120123), (13, 0.05427397), (14, 0.047479227), (15, 0.052609924), (16, 0.04898053), (17, 0.049407933), (18, 0.054935716), (19, 0.05188812)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",missmatch,-1
3168,"""mismatch year of birth (yob)
watchperson yob as per world check: 1961/1962 (mia csc mr)""
",8,mismatch year birth yob watchperson yob per world check mia csc mr,"['mismatch', 'year', 'birth', 'yob', 'watchperson', 'yob', 'per', 'world', 'check', 'mia', 'csc', 'mr']","[(2, 1), (5, 1), (6, 1), (7, 2), (22, 1), (47, 1), (49, 1), (50, 1), (105, 1), (107, 1), (136, 1)]","[(2, 0.015664447709159906), (5, 0.1366947563792522), (6, 0.12174874037275626), (7, 0.34096817790940204), (22, 0.04965916590804468), (47, 0.15499933930622936), (49, 0.11180670500405374), (50, 0.18081990447319246), (105, 0.34906301228890174), (107, 0.5015602086255765), (136, 0.6363113074752259)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.07558575), (1, 0.03504943), (2, 0.034899894), (3, 0.10500243), (4, 0.106370226), (5, 0.0350392), (6, 0.035044283), (7, 0.034918558), (8, 0.03500596), (9, 0.034996312), (10, 0.035075177), (11, 0.07956007), (12, 0.03489756), (13, 0.03489963), (14, 0.035015948), (15, 0.03489855), (16, 0.035168625), (17, 0.035011616), (18, 0.10866255), (19, 0.03489821)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",mismatch year of birth yob watchperson yob as per world check  mia csc mr ,-1
4585,"mismatch id number_nric. watchperson, yb senator dato' ahmad bin dato' sri hj ibrahim is member of the supreme council of parti pesaka bumiputera bersatu (pbb) (feb 2018 - jun 2022), address is no.9, laman bong chin, batu 2 1/2, off jalan rock, kuching sarawak, and mailing address is majlis perbandaran padawan (mpp) kota padawan, batu 10, 93250 kuching, sarawak. watchperson is nric is 690814135387, gcif: 006557900. customer is nric is different from watchperson. source: https://wc1-worldcheck.refinitiv.com/fsp/profile/v1/6598933/source/http%3a%2f%2fpbb.org.my%2fahli-majlis-kerja-tertinggi-pbb.html,  https://www.parlimen.gov.my/profile-ahli.html?uweb=dn&id=3839",5,mismatch id number nric  watchperson yb senator dato ahmad dato sri hj ibrahim member supreme council parti pesaka bumiputera bersatu pbb address  laman bong chin batu jalan rock kuching sarawak mailing address majlis perbandaran padawan mpp kota padawan batu kuching sarawak  watchpersons nric gcif  customers nric different watchperson  worldcheckrefinitivcomfspprofilevhttpaffpbborgmyfahli majlis kerja tertinggi pbbhtml ahlihtmluwebdnid,"['mismatch', 'i', 'd', 'number', 'nric', 'watchperson', 'yb_senator', 'dato', 'ahmad', 'dato', 'sri', 'hj', 'ibrahim', 'member', 'supreme', 'council', 'parti_pesaka', 'bumiputera_bersatu_pbb', 'address', 'laman_bong_chin', 'batu', 'jalan_rock', 'kuching_sarawak_mailing', 'address', 'majlis_perbandaran_padawan_mpp', 'kota', 'padawan', 'batu', 'kuching_sarawak', 'watchperson', 'nric', 'gcif', 'customers', 'nric', 'different', 'watchperson', 'majlis_kerja', 'tertinggi_pbbhtml']","[(0, 1), (1, 1), (2, 1), (3, 3), (4, 1), (22, 3), (28, 1), (116, 1), (122, 1), (164, 1), (227, 1), (318, 1), (384, 1), (388, 1), (418, 2), (497, 1), (529, 1), (1195, 2), (1346, 1), (1347, 1), (1612, 1), (1613, 1), (1710, 1), (1856, 2), (1857, 1), (1858, 1), (1859, 1), (1860, 1), (1861, 1), (1862, 1), (1863, 1)]","[(0, 0.06342916180959407), (1, 0.06345531116112416), (2, 0.004037522142906774), (3, 0.15344415540728865), (4, 0.05243827275795843), (22, 0.03839905223752658), (28, 0.06339229380541243), (116, 0.12182645432711142), (122, 0.09207213043789454), (164, 0.04570033013060554), (227, 0.1500565987109298), (318, 0.09882147219001107), (384, 0.19556842262890628), (388, 0.17609232167279928), (418, 0.18396074783193983), (497, 0.1268759519494438), (529, 0.14426185097366892), (1195, 0.29057020143547835), (1346, 0.19368897351583436), (1347, 0.19368897351583436), (1612, 0.1711171391200992), (1613, 0.1704255931263093), (1710, 0.18939970927859076), (1856, 0.37419697779558175), (1857, 0.18550745503187258), (1858, 0.24721723951309835), (1859, 0.16962135968096925), (1860, 0.24721723951309835), (1861, 0.24721723951309835), (1862, 0.24721723951309835), (1863, 0.24721723951309835)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.029651849), (1, 0.102081746), (2, 0.030613087), (3, 0.029462226), (4, 0.065035954), (5, 0.10922718), (6, 0.029483536), (7, 0.030266713), (8, 0.029166885), (9, 0.07918128), (10, 0.029241452), (11, 0.02964055), (12, 0.029777486), (13, 0.030751295), (14, 0.06388088), (15, 0.030488275), (16, 0.057061475), (17, 0.029858666), (18, 0.13455868), (19, 0.030570768)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",mismatch id number nric. watchperson yb senator dato ahmad dato sri hj ibrahim is member of the supreme council of parti pesaka bumiputera bersatu pbb     address is no. laman bong chin batu   off jalan rock kuching sarawak and mailing address is majlis perbandaran padawan mpp kota padawan batu   kuching sarawak. watchperson is nric is  gcif . customer is nric is different from watchperson.   worldcheck.refinitiv.comfspprofilevhttpaffpbb.org.myfahli majlis kerja tertinggi pbb.html   ahli.htmluwebdnid,-1
5359,"mismatch biography/occupation – customer  worked as 
waiters and bartenders. hence not reflects as pep.",5,mismatch biographyoccupation customer worked waiters bartenders  hence reflects pep ,"['mismatch', 'customer', 'worked_waiters_bartenders', 'hence', 'reflect', 'pep']","[(2, 1), (17, 1), (58, 1), (67, 1), (68, 1), (2751, 1)]","[(2, 0.016874836443866774), (17, 0.01133458331159289), (58, 0.18025814570541865), (67, 0.24419065900828715), (68, 0.38811437607837906), (2751, 0.8699608733485538)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.039087676), (1, 0.039068405), (2, 0.039299868), (3, 0.043820027), (4, 0.039493702), (5, 0.111371845), (6, 0.043121636), (7, 0.039194725), (8, 0.0422395), (9, 0.042567674), (10, 0.039351415), (11, 0.039016426), (12, 0.03906006), (13, 0.039336525), (14, 0.040796563), (15, 0.03920923), (16, 0.067529075), (17, 0.039093096), (18, 0.13818054), (19, 0.039162)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",mismatch biographyoccupation  customer  worked as  waiters and bartenders. hence not reflects as pep.,0
5657,thnm - adverse news in the biography is not related to money laundering offences as it is related to non compliance with bursa rules for corporate proposal  (bct),4,thnm adverse news biography related money laundering offences related non compliance bursa rules corporate proposal bct,"['thnm', 'adverse', 'news', 'biography', 'relate', 'money_laundering', 'offence', 'relate', 'non', 'compliance', 'bursa', 'rule', 'corporate', 'proposal', 'bct']","[(102, 1), (129, 2), (221, 1), (254, 1), (257, 1), (724, 1), (1222, 1), (1499, 1), (1766, 1), (2860, 1), (2861, 1), (2862, 1), (2863, 1), (2864, 1)]","[(102, 0.16230026753267734), (129, 0.26878644751952907), (221, 0.13819909330794736), (254, 0.16639513444835052), (257, 0.12794812762592525), (724, 0.14415223617182324), (1222, 0.3146107362260451), (1499, 0.29810201706773787), (1766, 0.2925340359583605), (2860, 0.31185537626567145), (2861, 0.29536762685266044), (2862, 0.32871961107706166), (2863, 0.2740380392365347), (2864, 0.42000644947053106)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.032263856), (1, 0.050379515), (2, 0.032532573), (3, 0.03210839), (4, 0.032081943), (5, 0.075182565), (6, 0.032230563), (7, 0.032442946), (8, 0.032730933), (9, 0.032251067), (10, 0.14568046), (11, 0.03225253), (12, 0.033885602), (13, 0.03255403), (14, 0.061915316), (15, 0.06671864), (16, 0.032207586), (17, 0.032236423), (18, 0.14592507), (19, 0.03242005)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",thnm adverse news in the biography is not related to money laundering offences as it is related to non compliance with bursa rules for corporate proposal  bct,0
6103,"mismatch full legal name_name does not sound similar. customer is full name is ng chee keong as per https://mysprsemak.spr.gov.my/semakan/daftarpemilih  while watchperson name is ng keong chye. source:  https://wc1-worldcheck.refinitiv.com/fsp/profile/v1/533221/source/http%3a%2f%2fwww.pahang.gov.my%2fctn.cfm%3fid%3d7d9fbf17-c0ae-4f0a-bcf4b6af211b0dc9%26type%3dwyswyg%26secid%3d87446f79-a622-11d8-b37d00d0b78f6634%26sub%3d1%26fid%3d6e01a056-c406-11d8-b37f00d0b78f6634%26lang%3dbm, https://pru.sinarharian.com.my/undian/pahang/bentong/ketari,  https://wc1-worldcheck.refinitiv.com/fsp/profile/v1/533221/source/http%3a%2f%2fwww.freemalaysiatoday.com%2fcategory%2fnation%2f2013%2f04%2f16%2fdap-to-contest-cameron-highlands%2f",4,mismatch full name sound similar  customers full name ng chee keong per watchperson name ng keong chye  worldcheckrefinitivcomfspprofilevhttpaff cae fa bcfbafbdctypedwyswygseciddf bddbfsubdfiddea c bfdbflangdbm worldcheckrefinitivcomfspprofilevhttpaff contest cameron highlandsf,"['mismatch', 'full', 'name', 'sound', 'similar', 'customer', 'full', 'name', 'ng', 'chee_keong', 'per', 'watchperson', 'name', 'ng_keong_chye', 'cae_fa', 'bddbfsubdfiddea_bfdbflangdbm', 'contest', 'cameron', 'highlandsf']","[(2, 1), (8, 2), (9, 3), (10, 1), (11, 1), (17, 1), (22, 1), (49, 1), (365, 1), (367, 1), (485, 1), (486, 1), (488, 1), (3029, 1), (3030, 1), (3031, 1)]","[(2, 0.0057331733225412275), (8, 0.1781265762323114), (9, 0.1868876848110834), (10, 0.10706377519918929), (11, 0.11016904820203009), (17, 0.003850889511155158), (22, 0.01817520863101783), (49, 0.040921150257703875), (365, 0.30063201859717625), (367, 0.23816067546094688), (485, 0.34651837351101583), (486, 0.34651837351101583), (488, 0.35626384170847203), (3029, 0.3699993076781443), (3030, 0.3190474415716712), (3031, 0.39348024184527275)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.0357045), (1, 0.1038809), (2, 0.04031622), (3, 0.036178194), (4, 0.03538234), (5, 0.034895826), (6, 0.034696493), (7, 0.037202973), (8, 0.035071038), (9, 0.0369072), (10, 0.034892295), (11, 0.036378276), (12, 0.03607163), (13, 0.039817844), (14, 0.03493491), (15, 0.036898118), (16, 0.035802767), (17, 0.10299836), (18, 0.17478889), (19, 0.03718119)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",mismatch full name name does not sound similar. customer is full name is ng chee keong as per   while watchperson name is ng keong chye.    worldcheck.refinitiv.comfspprofilevhttpaff cae fa bcfbafbdctypedwyswygseciddf a d bddbfsubdfiddea c d bfdbflangdbm    worldcheck.refinitiv.comfspprofilevhttpaff to contest cameron highlandsf,0
6373,"mismatch id number_nric. watchperson is spouse of roseli abdul who is ambassador to netherlands (oct 2023 - ), ambassador to turkmenistan (aug 2016 - may 2021), deputy ambassador to indonesia ( - aug 2016) and consul general in kunming (2008 - 2012). refer uco gcif 007287792, watchperson khadijah kok abdullah, nric 690929085148. customer is nric is different. hence, both are not the same person. source:
https://www.kln.gov.my/web/tkm_ashgabat/news-from-mission/-/blogs/annual-general-meeting-of-perwakilan-ashgabat-19-february-2019,
https://www.kln.gov.my/web/tkm_ashgabat/news-from-mission/-/blogs/annual-general-meeting-of-perwakilan-ashgabat-19-february-2019",4,mismatch id number nric  watchperson spouse roseli ul ambassador netherlands ambassador turkmenistan deputy ambassador indonesia consul general kunming  refer uco gcif watchperson khadijah kok nric  customers nric different  hence person  ashgabatnews mission blogsannual general meeting perwakilan ashgabat ashgabatnews mission blogsannual general meeting perwakilan ashgabat,"['mismatch', 'i', 'd', 'number', 'nric', 'watchperson', 'spouse', 'roseli', 'ul', 'ambassador', 'netherlands', 'ambassador', 'turkmenistan', 'deputy', 'ambassador', 'indonesia', 'consul', 'general', 'kunming', 'refer', 'uco', 'gcif', 'watchperson', 'khadijah', 'kok', 'nric', 'customer', 'nric', 'different', 'hence', 'person', 'ashgabatnews', 'mission', 'blogsannual', 'general', 'meeting', 'perwakilan', 'ashgabat', 'ashgabatnews', 'mission', 'blogsannual', 'general', 'meeting', 'perwakilan', 'ashgabat']","[(0, 1), (1, 1), (2, 1), (3, 3), (4, 1), (17, 1), (21, 1), (22, 2), (28, 1), (32, 1), (58, 1), (64, 1), (122, 1), (133, 1), (209, 1), (404, 3), (409, 1), (412, 1), (427, 1), (1701, 2), (1931, 3), (2831, 1), (3095, 2), (3096, 2), (3097, 2), (3098, 1), (3099, 1), (3100, 2), (3101, 1), (3102, 2), (3103, 1), (3104, 1)]","[(0, 0.04241721382199778), (1, 0.04243470077284994), (2, 0.0027000268513846745), (3, 0.10261326752488065), (4, 0.03506723665539793), (17, 0.001813568942867026), (21, 0.03471129022452064), (22, 0.017119158473832708), (28, 0.042392558947615906), (32, 0.007850010560666715), (58, 0.02884186968000719), (64, 0.03363352864692858), (122, 0.06157173029583247), (133, 0.053738807413446096), (209, 0.04009273751981398), (404, 0.15175595077857212), (409, 0.08105869914080993), (412, 0.11696946531783334), (427, 0.06947055208774544), (1701, 0.24363577960005017), (1931, 0.2880674242363014), (2831, 0.15213385522495196), (3095, 0.39273411351164295), (3096, 0.39273411351164295), (3097, 0.39273411351164295), (3098, 0.07665261900244599), (3099, 0.11846803056970782), (3100, 0.2971477553001031), (3101, 0.15544648280447926), (3102, 0.3306449654936167), (3103, 0.17884006532750404), (3104, 0.14501390007515116)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.03356743), (1, 0.06168798), (2, 0.04697172), (3, 0.034042202), (4, 0.059261862), (5, 0.032211132), (6, 0.034802295), (7, 0.033755068), (8, 0.03259772), (9, 0.09570355), (10, 0.032110162), (11, 0.032729063), (12, 0.033184193), (13, 0.03440483), (14, 0.06394132), (15, 0.033774246), (16, 0.033252988), (17, 0.032787677), (18, 0.20556101), (19, 0.033653516)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",mismatch id number nric. watchperson is spouse of roseli ul who is ambassador to netherlands    ambassador to turkmenistan     deputy ambassador to indonesia    and consul general in kunming  . refer uco gcif  watchperson khadijah kok nric . customer is nric is different. hence both are not the same person.   ashgabatnews from mission blogsannual general meeting of perwakilan ashgabat     ashgabatnews from mission blogsannual general meeting of perwakilan ashgabat   ,0
6932,"mismatch id number nric. watchperson is member of the supreme council of parti pesaka bumiputera bersatu (pbb) (feb 2018 - jun 2022), address is 6548, desa pujut, jalan dato permaisuri 5, bandra baru permyjaya, miri. watchperson is full legal name is zainulabidin @ zainal bin ismail nric: 570514135063, gcif: 001090475. customer is nric is different from watchperson. source: (https://wc1-worldcheck.refinitiv.com/fsp/profile/v1/6597472/source/http%3a%2f%2fpbb.org.my%2fahli-majlis-kerja-tertinggi-pbb.html)",4,mismatch id number nric  watchperson member supreme council parti pesaka bumiputera bersatu pbb address desa pujut jalan dato permaisuri bandra baru permyjaya miri  watchpersons full name zainulabidin zainal ismail nric gcif  customers nric different watchperson  worldcheckrefinitivcomfspprofilevhttpaffpbborgmyfahli majlis kerja tertinggi pbbhtml,"['mismatch', 'i', 'd', 'number', 'nric', 'watchperson', 'member', 'supreme', 'council', 'parti_pesaka', 'bumiputera_bersatu_pbb', 'address', 'desa', 'pujut', 'jalan', 'dato', 'permaisuri', 'bandra', 'baru', 'permyjaya', 'miri', 'watchperson', 'full', 'name', 'zainulabidin', 'zainal', 'ismail', 'nric', 'gcif', 'customer', 'nric', 'different', 'watchperson', 'majlis_kerja', 'tertinggi_pbbhtml']","[(0, 1), (1, 1), (2, 1), (3, 3), (4, 1), (8, 1), (9, 1), (17, 1), (22, 3), (28, 1), (122, 1), (164, 1), (196, 1), (318, 1), (418, 1), (497, 1), (1195, 1), (1315, 1), (1346, 1), (1347, 1), (1612, 1), (1613, 1), (2334, 1), (3291, 1), (3292, 1), (3293, 1), (3294, 1), (3295, 1), (3296, 1), (3297, 1), (3298, 1)]","[(0, 0.07310279296001018), (1, 0.0731329303696244), (2, 0.004653287807434444), (3, 0.1768460437382916), (4, 0.0604356748101589), (8, 0.07228756037280053), (9, 0.05056200328428218), (17, 0.0031255460461280383), (22, 0.04425532177150625), (28, 0.0730603021876328), (122, 0.10611412316929576), (164, 0.05267012327500835), (196, 0.16558953351837996), (318, 0.11389281231865636), (418, 0.10600837278834131), (497, 0.14622590276073122), (1195, 0.1674426452272093), (1315, 0.17605515191452753), (1346, 0.2232286305795588), (1347, 0.2232286305795588), (1612, 0.19721434804004903), (1613, 0.19641733382507165), (2334, 0.23914103741030912), (3291, 0.2941718604200556), (3292, 0.21180400637543484), (3293, 0.2216108071977478), (3294, 0.25471411789605747), (3295, 0.2534350470352217), (3296, 0.2941718604200556), (3297, 0.2891589173370689), (3298, 0.2812490800114354)]","0.011*""acting"" + 0.010*""lawyer"" + 0.009*""ambassador"" + 0.008*""watchlistperson"" + 0.004*""south_east"" + 0.004*""moreover"" + 0.004*""rosman_mohad_basir"" + 0.003*""kete"" + 0.003*""australia"" + 0.003*""chef""","[(0, 0.029733118), (1, 0.065363936), (2, 0.030615175), (3, 0.029548112), (4, 0.0720147), (5, 0.08375767), (6, 0.029819172), (7, 0.030301519), (8, 0.029278757), (9, 0.13655284), (10, 0.02939992), (11, 0.029726729), (12, 0.030233039), (13, 0.030709485), (14, 0.06082506), (15, 0.030324303), (16, 0.029602243), (17, 0.044492703), (18, 0.14701217), (19, 0.030689381)]",18,"['acting', 'lawyer', 'ambassador', 'watchlistperson', 'south_east', 'moreover', 'rosman_mohad_basir', 'kete', 'australia', 'chef', 'cafe', 'see', 'free_man', 'sarawak', 'kota']",mismatch id number nric. watchperson is member of the supreme council of parti pesaka bumiputera bersatu pbb     address is  desa pujut jalan dato permaisuri  bandra baru permyjaya miri. watchperson is full name is zainulabidin  zainal ismail nric  gcif . customer is nric is different from watchperson.   worldcheck.refinitiv.comfspprofilevhttpaffpbb.org.myfahli majlis kerja tertinggi pbb.html,0
